                                                                     
   wavelen         flux     sky_flux     flux_unc  xpixel    ypixel     response   flag 
   3594.7922  4.02633e-18  4.53044e-17  1.80331e-18    1012   117.116  8.47451e+15  0     
   3596.8711  2.90408e-18  4.61086e-17  1.79528e-18    1013   117.119  8.50039e+15  0     
   3598.9502  3.39376e-18  4.45763e-17  1.77560e-18    1014   117.121  8.53131e+15  0     
   3601.0298  1.48022e-18  4.45441e-17  1.74099e-18    1015   117.124  8.56977e+15  0     
   3603.1099  2.47868e-18  4.30190e-17  1.72801e-18    1016   117.127  8.61002e+15  0     
   3605.1902  4.01194e-18  4.11442e-17  1.71789e-18    1017   117.129  8.65080e+15  0     
   3607.2710  2.66144e-18  3.87922e-17  1.65492e-18    1018   117.132  8.68840e+15  0     
   3609.3521  4.55114e-18  3.79094e-17  1.66663e-18    1019   117.135  8.72717e+15  0     
   3611.4336  1.20980e-18  3.88800e-17  1.62388e-18    1020   117.137  8.76835e+15  0     
   3613.5154  2.98174e-18  4.03424e-17  1.67044e-18    1021   117.140  8.81449e+15  0.111 
   3615.5977 -9.63218e-19  4.95519e-17  1.74542e-18    1022   117.143  8.86502e+15  0     
   3617.6804  4.55444e-18  5.43233e-17  1.88670e-18    1023   117.145  8.91768e+15  0     
   3619.7634  2.00824e-19  5.80795e-17  1.87232e-18    1024   117.148  8.96911e+15  0     
   3621.8467  2.29279e-18  5.58918e-17  1.86486e-18    1025   117.151  9.02084e+15  0     
   3623.9307 -1.19360e-18  5.73905e-17  1.83118e-18    1026   117.154  9.07351e+15  0     
   3626.0149  1.46102e-18  5.56039e-17  1.83691e-18    1027   117.156  9.12830e+15  0     
   3628.0994  1.18604e-18  5.53176e-17  1.82242e-18    1028   117.159  9.18731e+15  0     
   3630.1841  5.17184e-18  5.71148e-17  1.89342e-18    1029   117.162  9.24993e+15  0     
   3632.2695 -1.74284e-19  6.24438e-17  1.88560e-18    1030   117.165  9.31588e+15  0     
   3634.3552  1.62401e-19  6.50588e-17  1.91628e-18    1031   117.168  9.38368e+15  0     
   3636.4414  2.83883e-18  6.62704e-17  1.95791e-18    1032   117.171  9.45046e+15  0     
   3638.5278  2.92122e-18  6.49141e-17  1.93484e-18    1033   117.173  9.51227e+15  0     
   3640.6145  2.98638e-18  6.34611e-17  1.91066e-18    1034   117.176  9.57160e+15  0     
   3642.7019  4.81434e-18  5.93261e-17  1.87480e-18    1035   117.179  9.63000e+15  0     
   3644.7893  2.04398e-18  5.55258e-17  1.78246e-18    1036   117.182  9.68831e+15  0     
   3646.8772  3.89306e-18  5.31741e-17  1.76974e-18    1037   117.185  9.74607e+15  0     
   3648.9656 -1.45202e-18  5.05773e-17  1.65431e-18    1038   117.188  9.80152e+15  0     
   3651.0542  9.85261e-19  4.94414e-17  1.66751e-18    1039   117.191  9.85550e+15  0     
   3653.1433  6.35617e-19  4.83058e-17  1.64132e-18    1040   117.194  9.90930e+15  0     
   3655.2327  5.39145e-18  4.72377e-17  1.68766e-18    1041   117.197  9.96411e+15  0     
   3657.3225  1.91245e-18  5.03983e-17  1.67774e-18    1042   117.200  1.00218e+16  0     
   3659.4126  1.65509e-18  5.18907e-17  1.68908e-18    1043   117.202  1.00800e+16  0     
